Fav,Pos,Bib No,Name,Time,Country,Swim,T1,Run,Category,Time_seconds,Swim_seconds,T1_seconds,Run_seconds
,1,462,JUN HONG LO ,01:19:17,SGP,00:36:08,00:02:36,00:40:32,StandardAquathlon3039M,4757,2168,156,2432
,2,463,VICTOR KUNG ,01:19:24,MAS,00:29:52,00:02:52,00:46:39,StandardAquathlon3039M,4764,1792,172,2799
,3,469,YEW GUO JARED TAY ,01:43:22,MAS,00:43:47,00:04:14,00:55:20,StandardAquathlon3039M,6202,2627,254,3320
,4,468,SYED NAZMI BIN SYED TARMIZI JAMALULIL ,01:45:37,MAS,00:41:53,00:03:00,01:00:44,StandardAquathlon3039M,6337,2513,180,3644
,5,464,FAHMI ZULKIFLY ,01:47:00,MAS,00:40:41,00:03:03,01:03:15,StandardAquathlon3039M,6420,2441,183,3795
,6,471,AZER AZRIN ANUAR ,02:00:39,MAS,00:48:58,00:04:12,01:07:27,StandardAquathlon3039M,7239,2938,252,4047
,7,461,TENGKU AFIQ ISKANDAR ,02:04:44,MAS,00:40:22,00:04:19,01:20:02,StandardAquathlon3039M,7484,2422,259,4802
,8,470,MOHD AL-HAFIS MOHD NUSI ,02:09:27,MAS,00:31:39,00:04:12,01:33:36,StandardAquathlon3039M,7767,1899,252,5616
,9,466,NASRULLAH ZULKAFLI ,02:18:24,MAS,00:48:19,00:06:03,01:24:01,StandardAquathlon3039M,8304,2899,363,5041
,10,465,KHAIRUL IMRAN BIN JOHARI ,02:18:49,MAS,00:48:03,00:06:19,01:24:26,StandardAquathlon3039M,8329,2883,379,5066
