Fav,Pos,Bib No,Name,Time,Country,Swim,T1,Run,Category
,1,481,CHONG CHIANG LEE ,01:34:22,MAS,00:36:45,00:05:33,00:52:03,StandardAquathlon5059M
,2,483,CHEE GAY LIM ,01:42:42,MAS,00:38:33,00:03:47,01:00:21,StandardAquathlon5059M
,3,484,BEN CHIN ,02:03:01,MAS,00:34:52,00:04:39,01:23:29,StandardAquathlon5059M
