Fav,Pos,Bib No,Name,Time,Country,Swim,T1,Run,Category
,1,472,DIANA REDZA ,01:22:18,MAS,00:30:55,00:03:02,00:48:21,StandardAquathlon3039F
,2,473,JEERANUN NEAUNGJUMNONG ,02:08:12,THA,00:44:33,00:05:07,01:18:31,StandardAquathlon3039F
