Fav,Pos,Bib No,Name,Time,Cat Pos,Gen Pos,Swim,T1,Run,Category
,1,329, HARITH AIMAN ADHA NORASLI,00:32:03,1,1,00:10:28,00:01:46,00:19:48,SprintAquathlon1629M
,2,326, DAVED ANAK ENGGANG TUJOH,00:35:28,2,2,00:13:58,00:01:54,00:19:35,SprintAquathlon1629M
,3,332, JUFFRIN BIN RANIS,00:37:16,3,3,00:13:43,00:01:50,00:21:42,SprintAquathlon1629M
,4,325, CHYI HANN TAN,00:37:54,4,4,00:15:12,00:02:19,00:20:22,SprintAquathlon1629M
,5,327, EE FANN ERIC TAN,00:39:40,5,5,00:12:29,00:02:36,00:24:33,SprintAquathlon1629M
,6,330, ISAAC CHUNG,00:40:50,6,6,00:16:52,00:02:05,00:21:52,SprintAquathlon1629M
,7,333, KAI SHENG KHOO,00:42:39,7,7,00:16:45,00:02:12,00:23:41,SprintAquathlon1629M
,8,334, LIM DAU CHIUN,00:42:54,8,8,00:14:10,00:02:35,00:26:08,SprintAquathlon1629M
,9,324, CHUA WEI WEN,00:43:57,9,9,00:16:58,00:02:22,00:24:36,SprintAquathlon1629M
,10,348, THAM TREVOR,00:45:31,10,10,00:17:47,00:02:32,00:25:11,SprintAquathlon1629M
,11,339, MUHAMMAD EILHAM IRFAN MOHD FAIRUZ,00:46:06,11,11,00:15:37,00:02:29,00:27:58,SprintAquathlon1629M
,12,321, ALIF AIMAN ROZAIMAN,00:46:26,12,12,00:13:47,00:02:46,00:29:52,SprintAquathlon1629M
,13,346, NOORUL QAISY NOORUL HISHAM,00:46:59,13,13,00:15:30,00:02:53,00:28:34,SprintAquathlon1629M
,14,323, AWALE YUSUF,00:47:02,14,14,00:19:04,00:03:42,00:24:14,SprintAquathlon1629M
,15,343, NIATAB NUJATIN,00:49:10,15,15,00:19:19,00:03:28,00:26:22,SprintAquathlon1629M
,16,331, JIA DA HOH,00:52:47,16,16,00:16:42,00:02:36,00:33:29,SprintAquathlon1629M
,17,319, ADIB AZMI,00:53:16,17,17,00:17:09,00:03:43,00:32:23,SprintAquathlon1629M
,18,347, SYED NAZMI BIN SYED TARMIZI JAMALULIL,00:54:24,18,18,00:20:49,00:03:33,00:30:01,SprintAquathlon1629M
,19,338, MUHAMMAD EDHLAN IRFAN MOHD FAIRUZ,00:54:48,19,19,00:15:43,00:03:17,00:35:47,SprintAquathlon1629M
,20,340, MUHAMMAD HAMZAH MAZANNI,00:58:42,20,20,00:20:22,00:05:12,00:33:07,SprintAquathlon1629M
,21,341, MUHAMMAD HAZIQ AIMAN BIN IRWAN,00:59:24,21,21,00:15:14,00:03:42,00:40:28,SprintAquathlon1629M
,22,322, ARMAN HARIZ ZULKIFLEE,01:01:00,22,22,00:16:18,00:03:36,00:41:05,SprintAquathlon1629M
,23,320, ALI IMRAN DATO' ZAZALI,01:03:18,23,23,00:14:42,00:03:55,00:44:40,SprintAquathlon1629M
,24,342, MUHAMMAD IMRAN RAHIMI YUSAINI,01:05:02,24,24,00:24:00,00:04:07,00:36:54,SprintAquathlon1629M
,25,344, MUHAMMAD NAFIZ FAUZAN,01:05:43,25,25,00:18:43,00:05:06,00:41:53,SprintAquathlon1629M
,26,349, YEO JON,01:07:24,26,26,00:26:23,00:03:29,00:37:31,SprintAquathlon1629M
,27,337, MUHAMMAD AQIL NAIM BIN OTHMAN,01:10:25,27,27,00:28:48,00:05:14,00:36:22,SprintAquathlon1629M
,28,335, MOHAMAD KHAIRUL AZAM AB. GHANI,01:11:13,28,28,00:24:20,00:04:57,00:41:55,SprintAquathlon1629M
