Fav,Pos,Bib No,Name,Time,Country,Swim,T1,Run,Category
,1,462,JUN HONG LO ,01:19:17,SGP,00:36:08,00:02:36,00:40:32,StandardAquathlon3039M
,2,463,VICTOR KUNG ,01:19:24,MAS,00:29:52,00:02:52,00:46:39,StandardAquathlon3039M
,3,469,YEW GUO JARED TAY ,01:43:22,MAS,00:43:47,00:04:14,00:55:20,StandardAquathlon3039M
,4,468,SYED NAZMI BIN SYED TARMIZI JAMALULIL ,01:45:37,MAS,00:41:53,00:03:00,01:00:44,StandardAquathlon3039M
,5,464,FAHMI ZULKIFLY ,01:47:00,MAS,00:40:41,00:03:03,01:03:15,StandardAquathlon3039M
,6,471,AZER AZRIN ANUAR ,02:00:39,MAS,00:48:58,00:04:12,01:07:27,StandardAquathlon3039M
,7,461,TENGKU AFIQ ISKANDAR ,02:04:44,MAS,00:40:22,00:04:19,01:20:02,StandardAquathlon3039M
,8,470,MOHD AL-HAFIS MOHD NUSI ,02:09:27,MAS,00:31:39,00:04:12,01:33:36,StandardAquathlon3039M
,9,466,NASRULLAH ZULKAFLI ,02:18:24,MAS,00:48:19,00:06:03,01:24:01,StandardAquathlon3039M
,10,465,KHAIRUL IMRAN BIN JOHARI ,02:18:49,MAS,00:48:03,00:06:19,01:24:26,StandardAquathlon3039M
