Fav,Pos,Bib No,Name,Time,Cat Pos,Gen Pos,Swim,T1,Run,Category
,1,394, REBECCA SIMPSON,00:57:27,1,1,00:20:08,00:04:19,00:32:59,SprintAquathlon4049F
,2,393, GILLIAN NG,01:26:43,2,2,00:28:04,00:05:09,00:53:29,SprintAquathlon4049F
