Fav,Pos,Bib No,Name,Time,Country,Swim,T1,Run,Category,Time_seconds,Swim_seconds,T1_seconds,Run_seconds
,1,472,DIANA REDZA ,01:22:18,MAS,00:30:55,00:03:02,00:48:21,StandardAquathlon3039F,4938,1855,182,2901
,2,473,JEERANUN NEAUNGJUMNONG ,02:08:12,THA,00:44:33,00:05:07,01:18:31,StandardAquathlon3039F,7692,2673,307,4711
